gender,PlaceofBirth,StageID,GradeID,Topic,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,StudentAbsenceDays,ParentschoolSatisfaction,ParentAnsweringSurvey
M,KuwaIT,lowerlevel,G-04,IT,Father,15,16,2,20,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-04,IT,Father,20,20,3,25,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-04,IT,Father,10,7,0,30,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-04,IT,Father,30,25,5,35,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-04,IT,Father,40,50,12,50,Above-7,Bad,No
F,KuwaIT,lowerlevel,G-04,IT,Father,42,30,13,70,Above-7,Bad,Yes
M,KuwaIT,MiddleSchool,G-07,Math,Father,35,12,0,17,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,Math,Father,50,10,15,22,Under-7,Good,Yes
F,KuwaIT,MiddleSchool,G-07,Math,Father,12,21,16,50,Under-7,Good,Yes
F,KuwaIT,MiddleSchool,G-07,IT,Father,70,80,25,70,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Math,Father,50,88,30,80,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Math,Father,19,6,19,12,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-04,IT,Father,5,1,0,11,Above-7,Bad,No
M,lebanon,MiddleSchool,G-08,Math,Father,20,14,12,19,Above-7,Bad,No
F,KuwaIT,MiddleSchool,G-08,Math,Mum,62,70,44,60,Above-7,Bad,No
F,KuwaIT,MiddleSchool,G-06,IT,Father,30,40,22,66,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,IT,Father,36,30,20,80,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,Math,Father,55,13,35,90,Above-7,Bad,No
F,KuwaIT,MiddleSchool,G-07,IT,Mum,69,15,36,96,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,IT,Mum,70,50,40,99,Under-7,Good,Yes
F,KuwaIT,MiddleSchool,G-07,IT,Father,60,60,33,90,Above-7,Bad,No
F,KuwaIT,MiddleSchool,G-07,IT,Father,10,12,4,80,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,IT,Father,15,21,2,90,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,IT,Father,2,0,2,50,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,IT,Father,0,2,3,70,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,IT,Father,8,7,30,40,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,IT,Father,19,19,25,40,Under-7,Bad,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Father,25,15,12,33,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Science,Father,75,85,52,43,Under-7,Good,Yes
F,KuwaIT,MiddleSchool,G-08,Arabic,Father,30,90,33,35,Under-7,Bad,No
F,KuwaIT,MiddleSchool,G-08,Arabic,Father,35,80,50,70,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,IT,Father,4,5,40,16,Above-7,Good,Yes
F,KuwaIT,lowerlevel,G-07,IT,Father,2,19,10,50,Above-7,Good,Yes
M,KuwaIT,lowerlevel,G-05,English,Father,8,22,9,40,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,Science,Father,12,11,8,40,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,English,Father,10,12,17,30,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,Science,Mum,8,6,4,22,Above-7,Good,Yes
F,Egypt,MiddleSchool,G-07,IT,Father,45,54,26,90,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-06,IT,Father,0,0,0,4,Above-7,Bad,No
F,SaudiArabia,MiddleSchool,G-07,Science,Father,50,90,37,70,Under-7,Good,Yes
F,KuwaIT,MiddleSchool,G-07,IT,Father,14,13,3,70,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,IT,Father,19,20,16,50,Under-7,Good,No
M,KuwaIT,HighSchool,G-09,IT,Father,10,12,7,33,Above-7,Good,Yes
F,KuwaIT,HighSchool,G-09,IT,Father,30,35,28,90,Under-7,Good,Yes
F,KuwaIT,HighSchool,G-09,IT,Father,33,33,30,90,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,Quran,Father,20,12,15,70,Above-7,Good,No
M,KuwaIT,lowerlevel,G-05,English,Father,7,10,1,30,Above-7,Bad,No
F,KuwaIT,HighSchool,G-12,English,Mum,70,4,39,90,Under-7,Good,Yes
F,KuwaIT,HighSchool,G-12,English,Mum,13,80,40,88,Under-7,Good,Yes
F,KuwaIT,HighSchool,G-12,English,Father,29,39,50,77,Under-7,Good,Yes
F,KuwaIT,HighSchool,G-12,English,Father,20,14,12,70,Above-7,Bad,No
M,KuwaIT,HighSchool,G-12,English,Father,39,15,16,50,Above-7,Good,No
F,KuwaIT,HighSchool,G-12,English,Father,55,90,16,40,Under-7,Bad,No
F,KuwaIT,HighSchool,G-11,Science,Mum,49,70,19,75,Under-7,Good,Yes
M,KuwaIT,HighSchool,G-12,English,Mum,12,50,8,30,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,Math,Father,16,14,6,20,Above-7,Good,Yes
M,USA,MiddleSchool,G-08,Math,Father,19,5,4,1,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Math,Father,5,2,6,5,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Math,Father,28,60,19,50,Under-7,Good,Yes
F,USA,MiddleSchool,G-07,Math,Father,27,22,22,40,Under-7,Good,No
F,Jordan,lowerlevel,G-05,English,Mum,21,10,28,20,Above-7,Good,No
M,KuwaIT,HighSchool,G-10,IT,Father,50,70,32,40,Under-7,Good,Yes
M,venzuela,HighSchool,G-10,IT,Mum,80,90,70,80,Under-7,Good,Yes
M,KuwaIT,HighSchool,G-10,IT,Father,17,13,16,12,Under-7,Bad,Yes
M,KuwaIT,HighSchool,G-10,IT,Father,0,5,7,2,Above-7,Bad,No
M,KuwaIT,HighSchool,G-12,English,Father,13,5,18,19,Above-7,Bad,No
F,KuwaIT,HighSchool,G-12,English,Father,25,10,19,30,Above-7,Bad,No
F,USA,HighSchool,G-12,English,Mum,65,75,23,80,Under-7,Good,Yes
F,USA,HighSchool,G-12,IT,Mum,70,69,35,30,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-07,IT,Father,39,40,11,33,Under-7,Bad,No
M,Jordan,MiddleSchool,G-07,IT,Father,22,30,10,12,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,IT,Father,29,22,9,20,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Math,Father,11,2,2,8,Under-7,Bad,No
F,KuwaIT,MiddleSchool,G-07,English,Father,19,30,26,19,Above-7,Bad,Yes
M,KuwaIT,MiddleSchool,G-07,IT,Father,12,0,6,13,Under-7,Bad,No
M,Jordan,MiddleSchool,G-07,Quran,Mum,50,90,29,60,Under-7,Good,Yes
M,Iran,HighSchool,G-09,IT,Mum,15,70,37,44,Under-7,Good,Yes
M,KuwaIT,HighSchool,G-09,IT,Father,20,80,33,33,Under-7,Good,Yes
M,KuwaIT,HighSchool,G-11,Quran,Father,13,3,11,9,Above-7,Bad,No
F,lebanon,MiddleSchool,G-07,Math,Mum,80,90,49,55,Under-7,Bad,Yes
M,KuwaIT,MiddleSchool,G-07,Math,Father,8,15,10,40,Under-7,Bad,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,8,25,1,70,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-02,IT,Father,7,5,2,80,Above-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,7,4,10,50,Above-7,Good,No
M,KuwaIT,lowerlevel,G-02,IT,Father,50,70,50,10,Above-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,1,0,1,12,Above-7,Bad,No
M,SaudiArabia,lowerlevel,G-02,IT,Father,70,12,40,50,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,19,70,3,50,Under-7,Bad,No
F,KuwaIT,lowerlevel,G-02,IT,Father,3,12,4,33,Under-7,Bad,No
M,KuwaIT,lowerlevel,G-02,IT,Father,5,20,1,50,Above-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,4,8,10,60,Above-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,80,90,55,19,Under-7,Good,Yes
F,KuwaIT,lowerlevel,G-02,IT,Father,50,70,19,15,Under-7,Good,Yes
M,USA,lowerlevel,G-02,IT,Father,55,89,40,40,Under-7,Good,Yes
F,KuwaIT,lowerlevel,G-02,IT,Father,80,44,35,10,Above-7,Good,No
F,KuwaIT,lowerlevel,G-02,IT,Father,100,80,2,70,Under-7,Bad,No
F,KuwaIT,lowerlevel,G-02,IT,Father,14,60,11,75,Under-7,Good,Yes
F,KuwaIT,lowerlevel,G-02,IT,Father,6,2,38,12,Under-7,Bad,No
F,KuwaIT,lowerlevel,G-02,IT,Father,10,3,0,30,Under-7,Bad,No
M,KuwaIT,lowerlevel,G-02,IT,Father,50,7,9,50,Above-7,Bad,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,50,90,40,90,Under-7,Bad,Yes
F,KuwaIT,lowerlevel,G-02,IT,Mum,70,92,50,7,Under-7,Good,Yes
F,KuwaIT,lowerlevel,G-02,IT,Father,2,6,2,8,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-02,IT,Father,1,7,6,10,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-02,IT,Father,0,12,3,3,Above-7,Good,Yes
F,KuwaIT,lowerlevel,G-02,IT,Father,0,0,5,80,Above-7,Good,Yes
F,KuwaIT,lowerlevel,G-02,IT,Father,12,26,7,40,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,70,90,41,33,Under-7,Bad,Yes
M,SaudiArabia,lowerlevel,G-02,IT,Father,7,12,5,3,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-02,IT,Father,90,70,30,14,Under-7,Bad,No
F,Jordan,lowerlevel,G-02,IT,Mum,70,88,55,40,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,77,80,51,80,Under-7,Good,No
M,KuwaIT,lowerlevel,G-02,IT,Father,2,5,3,50,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-02,IT,Father,25,27,0,69,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-02,IT,Father,11,2,0,50,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-02,IT,Father,0,8,11,70,Above-7,Good,Yes
F,KuwaIT,lowerlevel,G-02,IT,Mum,77,80,12,19,Above-7,Good,Yes
F,KuwaIT,lowerlevel,G-02,IT,Mum,25,29,40,17,Under-7,Good,No
F,KuwaIT,lowerlevel,G-02,IT,Mum,24,35,23,22,Above-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,60,60,3,60,Under-7,Bad,No
M,KuwaIT,lowerlevel,G-02,IT,Mum,21,12,0,50,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,IT,Mum,0,4,8,30,Above-7,Bad,No
F,KuwaIT,lowerlevel,G-02,IT,Father,66,90,55,12,Above-7,Good,Yes
F,lebanon,lowerlevel,G-02,IT,Father,70,98,7,5,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,0,6,4,15,Under-7,Bad,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,12,30,0,17,Above-7,Good,No
F,Iran,lowerlevel,G-02,IT,Father,2,9,7,55,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,55,33,6,9,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-02,IT,Father,12,10,20,16,Under-7,Bad,No
M,KuwaIT,lowerlevel,G-02,IT,Father,70,90,2,2,Under-7,Good,Yes
F,KuwaIT,lowerlevel,G-02,IT,Father,7,9,5,30,Above-7,Bad,No
M,Jordan,lowerlevel,G-02,IT,Father,80,42,20,50,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,IT,Father,0,3,10,3,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-02,IT,Father,12,60,0,70,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Quran,Father,80,80,15,70,Under-7,Good,Yes
F,Egypt,MiddleSchool,G-07,Quran,Mum,70,80,95,70,Under-7,Good,Yes
F,USA,HighSchool,G-11,Quran,Mum,70,80,95,70,Under-7,Good,Yes
F,USA,HighSchool,G-11,Quran,Mum,60,80,50,40,Under-7,Bad,No
F,Egypt,MiddleSchool,G-07,Quran,Mum,100,80,95,90,Under-7,Bad,No
M,USA,MiddleSchool,G-07,Quran,Mum,100,85,85,70,Under-7,Bad,No
M,Tunis,MiddleSchool,G-07,Quran,Father,10,60,5,20,Above-7,Bad,Yes
M,Tunis,MiddleSchool,G-07,Quran,Father,19,65,50,10,Above-7,Bad,No
M,Tunis,MiddleSchool,G-07,Quran,Father,10,75,55,11,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Quran,Father,80,90,55,19,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Quran,Father,10,10,15,19,Above-7,Bad,No
M,SaudiArabia,MiddleSchool,G-07,Quran,Father,70,75,55,11,Under-7,Bad,Yes
F,lebanon,MiddleSchool,G-07,Quran,Mum,100,75,50,70,Under-7,Good,Yes
F,lebanon,MiddleSchool,G-07,Quran,Father,10,79,30,30,Under-7,Bad,No
F,Jordan,MiddleSchool,G-07,Quran,Father,60,55,30,40,Under-7,Bad,No
F,lebanon,MiddleSchool,G-07,Quran,Mum,100,75,50,70,Under-7,Bad,Yes
M,SaudiArabia,HighSchool,G-11,Quran,Father,80,80,51,59,Under-7,Good,Yes
M,USA,HighSchool,G-11,Science,Father,23,63,71,89,Under-7,Good,Yes
F,USA,HighSchool,G-11,Science,Father,100,91,98,40,Under-7,Bad,Yes
M,USA,HighSchool,G-11,Spanish,Father,10,51,40,40,Above-7,Bad,No
M,USA,HighSchool,G-11,English,Father,70,50,33,41,Above-7,Bad,No
M,USA,HighSchool,G-11,Math,Father,70,58,73,91,Under-7,Bad,Yes
F,USA,HighSchool,G-11,French,Father,70,50,30,49,Under-7,Good,Yes
M,Tunis,HighSchool,G-11,Science,Father,70,50,33,40,Under-7,Good,No
M,KuwaIT,MiddleSchool,G-07,Science,Father,22,51,48,10,Above-7,Bad,No
F,KuwaIT,MiddleSchool,G-07,Science,Father,62,68,48,80,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-07,Science,Mum,82,89,58,50,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-07,Science,Mum,72,80,58,66,Under-7,Bad,No
F,Jordan,lowerlevel,G-02,French,Mum,70,82,3,73,Under-7,Bad,No
F,USA,lowerlevel,G-02,French,Mum,60,82,93,43,Above-7,Bad,No
M,Jordan,lowerlevel,G-02,French,Mum,55,72,83,14,Above-7,Good,Yes
F,Morocco,lowerlevel,G-02,French,Mum,72,65,73,66,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,French,Mum,51,82,53,43,Under-7,Bad,No
M,Tunis,lowerlevel,G-02,French,Mum,80,92,83,43,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,French,Mum,60,52,23,33,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,French,Mum,30,12,29,23,Under-7,Bad,No
M,KuwaIT,lowerlevel,G-02,French,Father,40,62,83,33,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,French,Mum,60,52,23,33,Under-7,Good,No
M,Iran,lowerlevel,G-02,French,Mum,20,22,53,13,Above-7,Good,No
M,Syria,lowerlevel,G-02,French,Mum,20,52,23,33,Above-7,Good,Yes
F,Jordan,lowerlevel,G-02,French,Father,50,62,73,43,Above-7,Bad,Yes
M,Iran,lowerlevel,G-02,French,Father,10,2,13,53,Above-7,Bad,No
M,Tunis,lowerlevel,G-02,French,Mum,60,52,23,33,Under-7,Bad,Yes
F,USA,lowerlevel,G-02,French,Mum,15,52,83,11,Under-7,Bad,Yes
F,lebanon,lowerlevel,G-02,French,Mum,80,42,33,13,Under-7,Bad,Yes
M,lebanon,lowerlevel,G-02,French,Mum,40,51,20,33,Under-7,Bad,No
F,SaudiArabia,lowerlevel,G-02,French,Father,60,70,63,93,Under-7,Bad,Yes
M,Jordan,lowerlevel,G-02,French,Father,50,62,13,33,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,85,75,62,53,Under-7,Bad,Yes
F,lebanon,MiddleSchool,G-08,Arabic,Father,25,15,32,53,Under-7,Bad,No
M,lebanon,MiddleSchool,G-08,Arabic,Mum,10,35,30,13,Above-7,Bad,No
M,Jordan,MiddleSchool,G-08,Arabic,Mum,87,65,82,33,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,85,15,22,53,Under-7,Good,Yes
F,KuwaIT,MiddleSchool,G-08,Arabic,Father,80,71,52,51,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,75,71,72,53,Under-7,Good,Yes
F,KuwaIT,MiddleSchool,G-08,Arabic,Father,85,66,12,23,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Arabic,Father,23,25,32,53,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Arabic,Father,15,25,37,13,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,95,91,62,53,Under-7,Good,Yes
M,Morocco,MiddleSchool,G-08,Arabic,Mum,81,75,62,53,Under-7,Bad,No
M,Morocco,MiddleSchool,G-08,Arabic,Mum,53,75,72,23,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Arabic,Father,15,43,42,33,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,92,65,62,53,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,83,75,62,53,Under-7,Bad,No
M,Morocco,MiddleSchool,G-08,Arabic,Father,27,15,42,53,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Arabic,Father,45,95,12,13,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,15,90,52,83,Under-7,Bad,Yes
F,lebanon,MiddleSchool,G-08,Arabic,Mum,45,58,52,43,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Father,25,5,12,33,Under-7,Good,Yes
F,KuwaIT,MiddleSchool,G-08,Arabic,Father,22,51,42,40,Under-7,Bad,Yes
M,Jordan,MiddleSchool,G-08,Arabic,Father,29,10,12,24,Above-7,Bad,No
F,SaudiArabia,MiddleSchool,G-08,Arabic,Mum,72,51,42,24,Above-7,Bad,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Father,67,31,42,14,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,17,21,42,14,Under-7,Good,Yes
M,Tunis,MiddleSchool,G-08,Spanish,Mum,27,41,49,14,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,70,81,39,84,Under-7,Bad,No
M,SaudiArabia,MiddleSchool,G-08,Spanish,Mum,27,90,82,14,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,17,61,42,14,Under-7,Bad,No
M,Tunis,MiddleSchool,G-08,Spanish,Mum,87,81,42,19,Under-7,Good,Yes
M,Tunis,MiddleSchool,G-08,Spanish,Father,7,61,22,14,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,17,50,2,4,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,5,21,42,14,Above-7,Good,No
M,Iran,MiddleSchool,G-08,Spanish,Mum,27,41,32,61,Above-7,Bad,Yes
F,KuwaIT,MiddleSchool,G-08,Spanish,Father,87,88,40,10,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Mum,96,61,42,94,Under-7,Bad,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Mum,57,51,46,34,Under-7,Good,Yes
M,lebanon,MiddleSchool,G-08,Spanish,Father,77,69,41,13,Under-7,Good,Yes
M,lebanon,MiddleSchool,G-08,Spanish,Father,80,51,40,24,Under-7,Good,No
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,62,61,82,40,Under-7,Bad,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Mum,72,83,12,90,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Mum,87,81,22,70,Under-7,Bad,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Mum,72,90,12,30,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,2,11,62,30,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,5,3,2,10,Under-7,Good,Yes
M,KuwaIT,HighSchool,G-11,Math,Mum,73,84,77,81,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,5,17,21,10,Above-7,Bad,No
M,Iran,MiddleSchool,G-08,Spanish,Mum,51,42,12,29,Above-7,Bad,No
M,Jordan,MiddleSchool,G-08,Spanish,Father,9,7,21,20,Above-7,Good,Yes
M,Syria,MiddleSchool,G-07,Quran,Father,19,72,15,50,Above-7,Good,Yes
F,Jordan,MiddleSchool,G-07,Science,Mum,32,80,58,46,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Science,Mum,32,60,58,66,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Science,Father,12,8,18,26,Above-7,Bad,No
M,Jordan,MiddleSchool,G-07,Science,Father,52,10,13,6,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,Science,Father,72,80,58,66,Above-7,Good,Yes
F,KuwaIT,MiddleSchool,G-07,Science,Mum,72,80,58,66,Above-7,Good,Yes
M,Egypt,MiddleSchool,G-07,Science,Mum,92,80,88,76,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Science,Mum,72,80,98,96,Under-7,Bad,Yes
M,Egypt,MiddleSchool,G-07,Science,Father,72,80,58,86,Under-7,Good,Yes
